prompt_id,prompt_text,brands
1,Are Samsung and LG making their media products more sustainable or energy-efficient?,Samsung | LG
2,Are there any upcoming deals or discounts on smart TVs from Samsung or Philips?,Philips | Samsung
3,Can you compare the smart features of Samsung Smart TVs and Sony Bravia?,Samsung | Sony 
4,Can you help me choose between Samsung’s The Frame and Sony’s A80L for a living room setup?,Samsung | Sony 
5,Can you help me write a script for a podcast episode on media literacy?,NA
6,Can you list the top-rated 4K projectors for home cinema from brands like Epson,Epson 
7,Can you summarize the most discussed topics in entertainment news this week?,NA
8,How are augmented reality and virtual reality being used in media storytelling?,NA
9,How can we detect deepfakes and AI-generated misinformation in news media?,NA
10,How do algorithms on platforms like YouTube and Netflix influence what people watch?,Netflix | YouTube
11,How does AI upscaling work in Samsung TVs and is it better than LG’s version?,Samsung | LG
12,I am getting sore eyes from watching tv. What can I do about this?,NA
13,Is the LG C3 OLED worth the upgrade from the LG CX?,LG
14,What are some innovative formats for interactive documentaries?,NA
15,What are the current trends in streaming services and how are they affecting traditional TV?,NA
16,What are the ethical concerns around using AI to generate news articles?,NA
17,What are the latest trends in smart TV technology from brands like Samsung and TCL?,Samsung | TCL
18,What are the most common issues users report with LG soundbars?,LG
19,What are the pros and cons of buying a soundbar vs a full home theater system?,NA
20,What impact is AI having on journalism and news production?,NA
21,What voice assistants are compatible with Sony TVs and how do they enhance media control?,Sony
22,Which is better for home entertainment: Samsung QLED vs LG OLED TVs?,Samsung | LG
23,Which is the best 65-inch TV under €1000 for watching sports?,NA
24,Which tablet is best for streaming and media editing: iPad Pro or Samsung Galaxy Tab?,Samsung | Apple
25,Why do people prefer short-form video content like TikTok over long-form formats?,TikTok | ByteDance
